epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,3973.98,0.69261,0.49795,1.05389,0.7449,0.6943,0.72839,0.5358,0.86282,0.59155,1.23879,0.003268,0.003268,0.003268
104,4012.67,0.70332,0.51319,1.06054,0.77462,0.72353,0.74888,0.54237,0.88396,0.63396,1.27704,0.003202,0.003202,0.003202
105,4051.26,0.69939,0.49967,1.05298,0.7578,0.71042,0.73834,0.54941,0.8576,0.60695,1.25071,0.003136,0.003136,0.003136
106,4089.84,0.68789,0.49052,1.04943,0.79005,0.7057,0.75596,0.5347,0.87583,0.59572,1.27098,0.00307,0.00307,0.00307
107,4128.3,0.68127,0.49518,1.04267,0.75694,0.6849,0.73509,0.54417,0.86635,0.59591,1.25689,0.003004,0.003004,0.003004
108,4166.6,0.68871,0.48973,1.04433,0.73553,0.73925,0.74375,0.54153,0.85867,0.58884,1.25372,0.002938,0.002938,0.002938
109,4205.04,0.68602,0.49325,1.04428,0.76662,0.72097,0.74427,0.54858,0.87441,0.5878,1.27225,0.002872,0.002872,0.002872
110,4243.57,0.68639,0.49258,1.04458,0.75268,0.71462,0.75403,0.54861,0.85689,0.59205,1.26128,0.002806,0.002806,0.002806
111,4282.35,0.67614,0.48937,1.04468,0.76244,0.69218,0.73447,0.54559,0.86745,0.59752,1.27203,0.00274,0.00274,0.00274
112,4320.81,0.67901,0.48914,1.05364,0.7524,0.72375,0.73036,0.55221,0.87311,0.59232,1.25834,0.002674,0.002674,0.002674
113,4359.33,0.68431,0.48389,1.04195,0.73793,0.72822,0.76126,0.56302,0.86797,0.59264,1.26291,0.002608,0.002608,0.002608
114,4397.9,0.67726,0.48042,1.04565,0.77046,0.71067,0.74599,0.56562,0.84983,0.57597,1.24507,0.002542,0.002542,0.002542
115,4436.34,0.67201,0.47356,1.04513,0.78438,0.68982,0.72756,0.5459,0.85196,0.59856,1.24159,0.002476,0.002476,0.002476
116,4475.05,0.67972,0.48112,1.04094,0.74531,0.72352,0.73931,0.54415,0.86438,0.60726,1.26345,0.00241,0.00241,0.00241
117,4513.7,0.6571,0.46625,1.02579,0.76496,0.69659,0.73531,0.54609,0.86734,0.60903,1.25084,0.002344,0.002344,0.002344
118,4552.39,0.66652,0.47583,1.03461,0.77277,0.70526,0.74636,0.55312,0.8598,0.60016,1.25954,0.002278,0.002278,0.002278
119,4591.02,0.66229,0.46763,1.02926,0.75553,0.71882,0.73946,0.56687,0.8481,0.60184,1.24098,0.002212,0.002212,0.002212
120,4629.73,0.66511,0.47141,1.03308,0.70642,0.73551,0.7364,0.55725,0.86381,0.60628,1.25464,0.002146,0.002146,0.002146
121,4668.34,0.66569,0.46633,1.03138,0.74989,0.71579,0.74783,0.55866,0.8547,0.59614,1.24008,0.00208,0.00208,0.00208
122,4706.93,0.65656,0.46233,1.03291,0.92214,0.6928,0.73093,0.55836,0.86444,0.59958,1.24712,0.002014,0.002014,0.002014
123,4745.53,0.66496,0.46378,1.03613,0.73798,0.71912,0.72774,0.55189,0.8586,0.58986,1.25906,0.001948,0.001948,0.001948
124,4784.15,0.64876,0.46275,1.02836,0.76385,0.70946,0.73035,0.55656,0.83387,0.54726,1.23604,0.001882,0.001882,0.001882
125,4822.75,0.66026,0.46634,1.02859,0.74512,0.72449,0.7273,0.56365,0.81746,0.57464,1.20812,0.001816,0.001816,0.001816
126,4861.3,0.64667,0.45168,1.01885,0.68799,0.72309,0.72391,0.54643,0.84837,0.59414,1.24345,0.00175,0.00175,0.00175
127,4899.99,0.64888,0.45572,1.02755,0.7643,0.70263,0.73358,0.56018,0.83981,0.58362,1.24573,0.001684,0.001684,0.001684
128,4938.61,0.64934,0.45477,1.02348,0.71975,0.7299,0.71846,0.55696,0.81725,0.62037,1.22071,0.001618,0.001618,0.001618
129,4977.23,0.65278,0.45079,1.02326,0.71589,0.71801,0.72083,0.55486,0.82258,0.60533,1.22147,0.001552,0.001552,0.001552
130,5015.51,0.64814,0.45071,1.02672,0.72626,0.71775,0.72306,0.55112,0.83829,0.5913,1.23533,0.001486,0.001486,0.001486
131,5053.72,0.64986,0.45122,1.02409,0.70944,0.73375,0.72999,0.56036,0.84116,0.59351,1.23471,0.00142,0.00142,0.00142
132,5091.93,0.63456,0.44208,1.0223,0.74981,0.71267,0.73518,0.56136,0.83903,0.58229,1.23369,0.001354,0.001354,0.001354
133,5130.11,0.64118,0.4439,1.0209,0.74694,0.71737,0.73852,0.56535,0.82454,0.58631,1.22812,0.001288,0.001288,0.001288
134,5168.58,0.63829,0.44117,1.02221,0.74411,0.72524,0.74341,0.56288,0.82703,0.58437,1.23131,0.001222,0.001222,0.001222
135,5207.06,0.62993,0.44127,1.014,0.7143,0.72565,0.72398,0.56049,0.81402,0.59002,1.22233,0.001156,0.001156,0.001156
136,5245.67,0.63952,0.44254,1.02418,0.69687,0.7336,0.74192,0.55861,0.82051,0.56986,1.222,0.00109,0.00109,0.00109
137,5284.5,0.63086,0.44385,1.01131,0.7546,0.72731,0.73547,0.5542,0.82984,0.60538,1.22509,0.001024,0.001024,0.001024
138,5323.26,0.62373,0.43378,1.01527,0.73762,0.71577,0.74762,0.56059,0.81891,0.5663,1.21691,0.000958,0.000958,0.000958
139,5361.62,0.62698,0.43479,1.01075,0.7274,0.71881,0.74387,0.56434,0.83254,0.57772,1.22819,0.000892,0.000892,0.000892
140,5400,0.62775,0.43882,1.01848,0.72703,0.72265,0.73537,0.55681,0.81714,0.55029,1.22436,0.000826,0.000826,0.000826
141,5439.6,0.64296,0.43284,1.05752,0.7651,0.69477,0.71658,0.54753,0.85914,0.59385,1.25965,0.00076,0.00076,0.00076
142,5477.67,0.62231,0.41576,1.04301,0.73146,0.72201,0.72713,0.54674,0.84105,0.58374,1.23572,0.000694,0.000694,0.000694
143,5515.67,0.61265,0.40284,1.03094,0.72122,0.71636,0.72546,0.55116,0.82221,0.57228,1.22238,0.000628,0.000628,0.000628
144,5553.67,0.60343,0.39791,1.02891,0.73754,0.68933,0.7206,0.55098,0.8173,0.55705,1.21863,0.000562,0.000562,0.000562
145,5591.7,0.59951,0.39436,1.02462,0.72554,0.71132,0.71899,0.55363,0.80312,0.56027,1.2078,0.000496,0.000496,0.000496
146,5629.67,0.59741,0.39301,1.02251,0.71959,0.70875,0.71858,0.55244,0.81131,0.56212,1.20727,0.00043,0.00043,0.00043
147,5667.63,0.5935,0.38993,1.01832,0.71363,0.71128,0.71933,0.5525,0.81329,0.56225,1.21368,0.000364,0.000364,0.000364
148,5705.63,0.5934,0.39114,1.02286,0.73605,0.69785,0.71851,0.55597,0.81534,0.55707,1.21697,0.000298,0.000298,0.000298
149,5743.48,0.58545,0.3875,1.01496,0.72426,0.70984,0.72128,0.5592,0.80864,0.55031,1.21159,0.000232,0.000232,0.000232
150,5781.39,0.58803,0.38088,1.01472,0.71789,0.69051,0.7178,0.55602,0.80629,0.54472,1.21108,0.000166,0.000166,0.000166
